name,category,latitude,longitude,city,borough,street,postal_code,state,region,review_rating,review_count,open_hours,open_hours_monday,open_hours_tuesday,open_hours_wednesday,open_hours_thursday,open_hours_friday,open_hours_saturday,open_hours_sunday,price_range,has_toilet,has_restaurant,wheelchair_accessible,good_for_kids,good_for_kids_birthday,has_parking,has_free_parking,requires_appointment,tickets_in_advance,outdoor_seating,delivery_available,dine_in,great_coffee,great_food,cash_only,google_maps_url,source,popularity_score,restaurant_id
Gudeg Yu Djum - Dagen,Central Javanese restaurant,-7.793855,110.365261,Yogyakarta City,"Sosromenduran, Gedong Tengen",Jl. Dagen No.2C,55271,Special Region of Yogyakarta,Yogyakarta,4.3,4142,Setiap hari: 6.30 am–9.00 pm,6.30 am–9.00 pm,6.30 am–9.00 pm,6.30 am–9.00 pm,6.30 am–9.00 pm,6.30 am–9.00 pm,6.30 am–9.00 pm,6.30 am–9.00 pm,Rp 25–50K,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,https://www.google.com/maps/place/Gudeg+Yu+Djum+-+Dagen/data=!4m7!3m6!1s0x2e7a5827b486d57b:0x3c0e9dec5b366c5f!8m2!3d-7.7938555!4d110.3652611!16s%2Fg%2F1ptyp443w!19sChIJe9WGtCdYei4RX2w2W-ydDjw?authuser=0&hl=en&rclk=1,google_maps,0.8054,0x2e7a5827b486d57b_0x3c0e9dec5b366c5f
Gudeg Yu Djum Wijilan 31,Javanese restaurant,-7.804936,110.366723,Yogyakarta City,"Panembahan, Kraton",Jl. Wijilan No.31,55131,Special Region of Yogyakarta,Yogyakarta,4.5,1269,Setiap hari: 7.00 am–12.00 am,7.00 am–12.00 am,7.00 am–12.00 am,7.00 am–12.00 am,7.00 am–12.00 am,7.00 am–12.00 am,7.00 am–12.00 am,7.00 am–12.00 am,Rp 25–50K,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,https://www.google.com/maps/place/Gudeg+Yu+Djum+Wijilan+31/data=!4m7!3m6!1s0x2e7a5785603eda9d:0x16f04554efd6de70!8m2!3d-7.8049362!4d110.3667234!16s%2Fg%2F11gf5l6zpg!19sChIJndo-YIVXei4RcN7W71RF8BY?authuser=0&hl=en&rclk=1,google_maps,0.7883,0x2e7a5785603eda9d_0x16f04554efd6de70
Gudeg Kangen Bu Manto,Javanese restaurant,-7.759763,110.395242,Sleman Regency,"Soropadan, Condong Catur, Depok","Jl. Affandi No.15, RT.01/RW.36",55283,Special Region of Yogyakarta,Yogyakarta,4.6,1037,Sen: 7.00 am–12.00 pm | Sel: 7.00 am–12.00 pm | Rab: 7.00 am–12.00 pm | Kam: 7.00 am–12.00 pm | Jum: 8.00 am–12.00 pm | Sab: 7.00 am–12.00 pm | Min: 7.00 am–12.00 pm,7.00 am–12.00 pm,7.00 am–12.00 pm,7.00 am–12.00 pm,7.00 am–12.00 pm,8.00 am–12.00 pm,7.00 am–12.00 pm,7.00 am–12.00 pm,Rp 1–25.000,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,https://www.google.com/maps/place/Gudeg+Kangen+Bu+Manto/data=!4m7!3m6!1s0x2e7a59a4148e3deb:0x34b7c299340a0508!8m2!3d-7.7597627!4d110.3952416!16s%2Fg%2F11c5sbcbzj!19sChIJ6z2OFKRZei4RCAUKNJnCtzQ?authuser=0&hl=en&rclk=1,google_maps,0.7933,0x2e7a59a4148e3deb_0x34b7c299340a0508
Gudeg Mbah Djum,Javanese restaurant,-7.807769,110.350601,Yogyakarta City,"Patangpuluhan, Wirobrajan",Jl. Letjen S.Parman No.99,55251,Special Region of Yogyakarta,Yogyakarta,4.5,60,Sen: 9.00 pm–2.00 am | Sel: 9.00 pm–2.00 am | Rab: 9.00 pm–2.00 am | Kam: 9.00 pm–2.00 am | Jum: 9.00 pm–2.00 am | Sab: 9.00 pm–2.00 am | Min: Closed,9.00 pm–2.00 am,9.00 pm–2.00 am,9.00 pm–2.00 am,9.00 pm–2.00 am,9.00 pm–2.00 am,9.00 pm–2.00 am,Closed,Rp 1–25.000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,https://www.google.com/maps/place/Gudeg+Mbah+Djum/data=!4m7!3m6!1s0x2e7a57ed918b656b:0xeabc9291b7f8601a!8m2!3d-7.8077693!4d110.3506014!16s%2Fg%2F11g69jyc_7!19sChIJa2WLke1Xei4RGmD4t5GSvOo?authuser=0&hl=en&rclk=1,google_maps,0.6823,0x2e7a57ed918b656b_0xeabc9291b7f8601a
Gudeg Kulon Tugu,Javanese restaurant,-7.782781,110.366474,Yogyakarta City,"Gowongan, Jetis",Jl. Pangeran Diponegoro No.14,55233,Special Region of Yogyakarta,Yogyakarta,4.5,259,Setiap hari: 6.00 pm–12.00 am,6.00 pm–12.00 am,6.00 pm–12.00 am,6.00 pm–12.00 am,6.00 pm–12.00 am,6.00 pm–12.00 am,6.00 pm–12.00 am,6.00 pm–12.00 am,Rp 1–25.000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,https://www.google.com/maps/place/Gudeg+Kulon+Tugu/data=!4m7!3m6!1s0x2e7a583a78dbbb53:0x5f95e499966e8eef!8m2!3d-7.7827809!4d110.3664737!16s%2Fg%2F11b_2vd__y!19sChIJU7vbeDpYei4R745ulpnklV8?authuser=0&hl=en&rclk=1,google_maps,0.7331,0x2e7a583a78dbbb53_0x5f95e499966e8eef
Gudeg Yu Narni Tugu,Javanese restaurant,-7.784251,110.367747,Yogyakarta City,"Gowongan, Jetis",Jl. Margo Utomo Jl. Kb. Dalem,55233,Special Region of Yogyakarta,Yogyakarta,4.4,658,Setiap hari: 5.00 am–8.00 pm,5.00 am–8.00 pm,5.00 am–8.00 pm,5.00 am–8.00 pm,5.00 am–8.00 pm,5.00 am–8.00 pm,5.00 am–8.00 pm,5.00 am–8.00 pm,Rp 1–25.000,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,https://www.google.com/maps/place/Gudeg+Yu+Narni+Tugu/data=!4m7!3m6!1s0x2e7a5830716dd7bb:0x520e00bea87513f7!8m2!3d-7.7842511!4d110.3677466!16s%2Fg%2F11bbxgc40f!19sChIJu9dtcTBYei4R9xN1qL4ADlI?authuser=0&hl=en&rclk=1,google_maps,0.7535,0x2e7a5830716dd7bb_0x520e00bea87513f7
Gudeg Bu Tjitro 1925,Javanese restaurant,-7.798471,110.402577,Bantul Regency,"Modalan, Banguntapan",Jl. Raya Janti No.330,55198,Special Region of Yogyakarta,Yogyakarta,4.4,2327,Setiap hari: 8.00 am–8.30 pm,8.00 am–8.30 pm,8.00 am–8.30 pm,8.00 am–8.30 pm,8.00 am–8.30 pm,8.00 am–8.30 pm,8.00 am–8.30 pm,8.00 am–8.30 pm,Rp 25–50K,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,https://www.google.com/maps/place/Gudeg+Bu+Tjitro+1925/data=!4m7!3m6!1s0x2e7a575e1c32a459:0x3adfeb09be097de0!8m2!3d-7.798471!4d110.4025774!16s%2Fg%2F1wvvbrtz!19sChIJWaQyHF5Xei4R4H0Jvgnr3zo?authuser=0&hl=en&rclk=1,google_maps,0.7973,0x2e7a575e1c32a459_0x3adfeb09be097de0
Gudeg Pagi Ibu Dewi,Central Javanese restaurant,-7.761189,110.382968,Sleman Regency,"Karang Wuni, Caturtunggal, Depok",69QM+G5G,55281,Special Region of Yogyakarta,Yogyakarta,4.9,509,Setiap hari: 6.00–10.00 am,6.00–10.00 am,6.00–10.00 am,6.00–10.00 am,6.00–10.00 am,6.00–10.00 am,6.00–10.00 am,6.00–10.00 am,Rp 1–25.000,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,https://www.google.com/maps/place/Gudeg+Pagi+Ibu+Dewi/data=!4m7!3m6!1s0x2e7a59ac486f9c97:0xe862649101c3eaa1!8m2!3d-7.7611891!4d110.3829676!16s%2Fg%2F11g9svggkf!19sChIJl5xvSKxZei4RoerDAZFkYug?authuser=0&hl=en&rclk=1,google_maps,0.8045,0x2e7a59ac486f9c97_0xe862649101c3eaa1
Gudeg Gejayan ( Mbak Sasha ),Javanese restaurant,-7.767953,110.391592,Sleman Regency,"Santren, Caturtunggal, Depok",Jl. Affandi No.43,55281,Special Region of Yogyakarta,Yogyakarta,4.5,728,Setiap hari: 8.00 pm–2.00 am,8.00 pm–2.00 am,8.00 pm–2.00 am,8.00 pm–2.00 am,8.00 pm–2.00 am,8.00 pm–2.00 am,8.00 pm–2.00 am,8.00 pm–2.00 am,Rp 1–25.000,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,https://www.google.com/maps/place/Gudeg+Gejayan+%28+Mbak+Sasha+%29/data=!4m7!3m6!1s0x2e7a59b9fdd0052f:0x3e72858438f9ffea!8m2!3d-7.7679531!4d110.3915923!16s%2Fg%2F11cly1n0m6!19sChIJLwXQ_blZei4R6v_5OISFcj4?authuser=0&hl=en&rclk=1,google_maps,0.769,0x2e7a59b9fdd0052f_0x3e72858438f9ffea
Gudeg Ibu Kota - Jalan Solo,Javanese restaurant,-7.783142,110.38319,Yogyakarta City,"Klitren, Gondokusuman",Jl. Urip Sumoharjo No.88,55222,Special Region of Yogyakarta,Yogyakarta,3.8,100,Setiap hari: 8.30 pm–5.00 am,8.30 pm–5.00 am,8.30 pm–5.00 am,8.30 pm–5.00 am,8.30 pm–5.00 am,8.30 pm–5.00 am,8.30 pm–5.00 am,8.30 pm–5.00 am,Rp 25–50K,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,https://www.google.com/maps/place/Gudeg+Ibu+Kota+-+Jalan+Solo/data=!4m7!3m6!1s0x2e7a59b317cc53e5:0x44953f784771f559!8m2!3d-7.7831417!4d110.3831903!16s%2Fg%2F11twg0sdb_!19sChIJ5VPMF7NZei4RWfVxR3g_lUQ?authuser=0&hl=en&rclk=1,google_maps,0.616,0x2e7a59b317cc53e5_0x44953f784771f559
Gudeg GONGSO Bu Tini (Cab. Psr Kranggan),Javanese restaurant,-7.782747,110.365788,Yogyakarta City,"Gowongan, Jetis",Jl. Pangeran Diponegoro No.16-22,55233,Special Region of Yogyakarta,Yogyakarta,4.8,245,Setiap hari: 5.30–10.30 am,5.30–10.30 am,5.30–10.30 am,5.30–10.30 am,5.30–10.30 am,5.30–10.30 am,5.30–10.30 am,5.30–10.30 am,Rp 1–25.000,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,https://www.google.com/maps/place/Gudeg+GONGSO+Bu+Tini+%28Cab.+Psr+Kranggan%29/data=!4m7!3m6!1s0x2e7a583a643eae75:0xd711bbb8efc35aed!8m2!3d-7.7827475!4d110.3657883!16s%2Fg%2F11c5bs4p5c!19sChIJda4-ZDpYei4R7VrD77i7Edc?authuser=0&hl=en&rclk=1,google_maps,0.7671,0x2e7a583a643eae75_0xd711bbb8efc35aed
Gudeg Bu is asli Wijilan,Javanese restaurant,-7.804393,110.36669,Yogyakarta City,"Panembahan, Kraton",Jl. Wijilan No.7,55131,Special Region of Yogyakarta,Yogyakarta,4.7,278,Setiap hari: 5.45 am–10.15 pm,5.45 am–10.15 pm,5.45 am–10.15 pm,5.45 am–10.15 pm,5.45 am–10.15 pm,5.45 am–10.15 pm,5.45 am–10.15 pm,5.45 am–10.15 pm,Rp 25–50K,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,https://www.google.com/maps/place/Gudeg+Bu+is+asli+Wijilan/data=!4m7!3m6!1s0x2e7a57733fa6f4d3:0x5ac63d78ae04b60b!8m2!3d-7.8043931!4d110.3666903!16s%2Fg%2F11sv8vm5q7!19sChIJ0_SmP3NXei4RC7YErng9xlo?authuser=0&hl=en&rclk=1,google_maps,0.7595,0x2e7a57733fa6f4d3_0x5ac63d78ae04b60b
GUDEG CEKER MBOK JOYO,Javanese restaurant,-7.809512,110.36082,Yogyakarta City,"Patehan, Kraton",Jl. Tamanan No.265,55131,Special Region of Yogyakarta,Yogyakarta,4.7,238,Sen: 3.30–11.00 pm | Sel: 3.30–11.00 pm | Rab: 3.30–11.00 pm | Kam: 3.30–11.00 pm | Jum: 3.30–11.00 pm | Sab: 3.30–11.00 pm | Min: Closed,3.30–11.00 pm,3.30–11.00 pm,3.30–11.00 pm,3.30–11.00 pm,3.30–11.00 pm,3.30–11.00 pm,Closed,Rp 1–25.000,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,https://www.google.com/maps/place/GUDEG+CEKER+MBOK+JOYO/data=!4m7!3m6!1s0x2e7a579af980f0e9:0x2e17da83ac1e4383!8m2!3d-7.8095118!4d110.3608203!16s%2Fg%2F11bz0nrd11!19sChIJ6fCA-ZpXei4Rg0MerIPaFy4?authuser=0&hl=en&rclk=1,google_maps,0.7541,0x2e7a579af980f0e9_0x2e17da83ac1e4383
Gudeg Mercon Mbak Yuni,Javanese restaurant,-7.7826,110.361781,Yogyakarta City,"Cokrodiningratan, Jetis",Jl. Pangeran Diponegoro No.100,55231,Special Region of Yogyakarta,Yogyakarta,4.2,1384,Setiap hari: 6.30 pm–12.00 am,6.30 pm–12.00 am,6.30 pm–12.00 am,6.30 pm–12.00 am,6.30 pm–12.00 am,6.30 pm–12.00 am,6.30 pm–12.00 am,6.30 pm–12.00 am,Rp 25–50K,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,https://www.google.com/maps/place/Gudeg+Mercon+Mbak+Yuni/data=!4m7!3m6!1s0x2e7a583b98154313:0x1fdf274f44c402ff!8m2!3d-7.7825998!4d110.3617806!16s%2Fg%2F11b7ttskc6!19sChIJE0MVmDtYei4R_wLERE8n3x8?authuser=0&hl=en&rclk=1,google_maps,0.7553,0x2e7a583b98154313_0x1fdf274f44c402ff
Claw & Koyor Gudeg Mrs. Sum Tamansari,Javanese restaurant,-7.808224,110.356137,Yogyakarta City,"Notoprajan, Ngampilan",59R4+PF6,55142,Special Region of Yogyakarta,Yogyakarta,4.4,387,Setiap hari: 6.00 pm–12.00 am,6.00 pm–12.00 am,6.00 pm–12.00 am,6.00 pm–12.00 am,6.00 pm–12.00 am,6.00 pm–12.00 am,6.00 pm–12.00 am,6.00 pm–12.00 am,Rp 25–50K,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,https://www.google.com/maps/place/Claw+%26+Koyor+Gudeg+Mrs.+Sum+Tamansari/data=!4m7!3m6!1s0x2e7a5792c244a6db:0xf33f3fbcc7f08c4e!8m2!3d-7.808224!4d110.3561371!16s%2Fg%2F11c1xcw63x!19sChIJ26ZEwpJXei4RTozwx7w_P_M?authuser=0&hl=en&rclk=1,google_maps,0.735,0x2e7a5792c244a6db_0xf33f3fbcc7f08c4e
Lesehan gudeg Bu Sastro Malioboro yogyakarta,Javanese restaurant,-7.791765,110.366752,Yogyakarta City,"Suryatmajan, Danurejan",,55213,Special Region of Yogyakarta,Yogyakarta,4.4,291,Sen: 5.00 pm–3.00 am | Sel: Closed | Rab: 5.00 pm–3.00 am | Kam: 5.00 pm–3.00 am | Jum: 5.00 pm–3.00 am | Sab: 5.30 pm–2.30 am | Min: 5.00 pm–2.00 am,5.00 pm–3.00 am,Closed,5.00 pm–3.00 am,5.00 pm–3.00 am,5.00 pm–3.00 am,5.30 pm–2.30 am,5.00 pm–2.00 am,$,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,https://www.google.com/maps/place/Lesehan+gudeg+Bu+Sastro+Malioboro+yogyakarta/data=!4m7!3m6!1s0x2e7a5827c5f4910b:0x2a245d97e25d645c!8m2!3d-7.7917652!4d110.3667517!16s%2Fg%2F1pzxh22md!19sChIJC5H0xSdYei4RXGRd4pddJCo?authuser=0&hl=en&rclk=1,google_maps,0.7251,0x2e7a5827c5f4910b_0x2a245d97e25d645c
Gudeg Yu Djum Pusat,Javanese restaurant,-7.765386,110.380328,Sleman Regency,"Kocoran, Caturtunggal, Depok","69MH+HWR, Jl. Karang Asem",55281,Special Region of Yogyakarta,Yogyakarta,4.6,6282,Setiap hari: 5.00 am–7.00 pm,5.00 am–7.00 pm,5.00 am–7.00 pm,5.00 am–7.00 pm,5.00 am–7.00 pm,5.00 am–7.00 pm,5.00 am–7.00 pm,5.00 am–7.00 pm,Rp 25–50K,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,https://www.google.com/maps/place/Gudeg+Yu+Djum+Pusat/data=!4m7!3m6!1s0x2e7a59ad3ffdbc85:0x3d88576226010d10!8m2!3d-7.7653864!4d110.3803284!16s%2Fg%2F11cphr0w9t!19sChIJhbz9P61Zei4REA0BJmJXiD0?authuser=0&hl=en&rclk=1,google_maps,0.8558,0x2e7a59ad3ffdbc85_0x3d88576226010d10
Gudeg Bromo Bu Tekluk,Nasi restaurant,-7.773729,110.389592,Sleman Regency,"Santren, Caturtunggal, Depok",Jl. Affandi No.2-A,55281,Special Region of Yogyakarta,Yogyakarta,4.4,3277,Setiap hari: 10.30 pm–5.00 am,10.30 pm–5.00 am,10.30 pm–5.00 am,10.30 pm–5.00 am,10.30 pm–5.00 am,10.30 pm–5.00 am,10.30 pm–5.00 am,10.30 pm–5.00 am,Rp 25–50K,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,https://www.google.com/maps/place/Gudeg+Bromo+Bu+Tekluk/data=!4m7!3m6!1s0x2e7a59b7fac00017:0x1da4bfd86dce7414!8m2!3d-7.7737295!4d110.3895916!16s%2Fg%2F11c30wg3_y!19sChIJFwDA-rdZei4RFHTObdi_pB0?authuser=0&hl=en&rclk=1,google_maps,0.8092,0x2e7a59b7fac00017_0x1da4bfd86dce7414
Gudeg Jogja Bu Parto Utomo,Javanese restaurant,-7.787502,110.353364,Yogyakarta City,Tegalrejo,"6963+X8X, Jl. HOS Cokroaminoto",55244,Special Region of Yogyakarta,Yogyakarta,4.6,332,"Sen: 6.00–9.00 am, 4.00–9.30 pm | Sel: 6.00–9.00 am, 4.00–9.30 pm | Rab: 6.00–9.00 am, 4.00–9.30 pm | Kam: 6.00–9.00 am, 4.00–9.30 pm | Jum: 6.00–9.00 am, 4.00–9.30 pm | Sab: 6.00–9.00 am, 4.00–9.30 pm | Min: 6.00–9.00 am","6.00–9.00 am, 4.00–9.30 pm","6.00–9.00 am, 4.00–9.30 pm","6.00–9.00 am, 4.00–9.30 pm","6.00–9.00 am, 4.00–9.30 pm","6.00–9.00 am, 4.00–9.30 pm","6.00–9.00 am, 4.00–9.30 pm",6.00–9.00 am,Rp 1–25.000,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,https://www.google.com/maps/place/Gudeg+Jogja+Bu+Parto+Utomo/data=!4m7!3m6!1s0x2e7a581815f19669:0x742b52a05e70ca23!8m2!3d-7.7875016!4d110.3533638!16s%2Fg%2F11bby3hjgx!19sChIJaZbxFRhYei4RI8pwXqBSK3Q?authuser=0&hl=en&rclk=1,google_maps,0.7537,0x2e7a581815f19669_0x742b52a05e70ca23
Gudeg Wijilan Bu Lies 2,Javanese restaurant,-7.804229,110.3667,Yogyakarta City,"Panembahan, Kraton",Jl. Wijilan No.5,55131,Special Region of Yogyakarta,Yogyakarta,4.4,3868,Sen: 5.30 am–9.00 pm | Sel: 5.30 am–9.00 pm | Rab: 5.30 am–9.00 pm | Kam: 5.30 am–9.00 pm | Jum: 5.30 am–9.00 pm | Sab: 5.30 am–9.30 pm | Min: 5.30 am–9.00 pm,5.30 am–9.00 pm,5.30 am–9.00 pm,5.30 am–9.00 pm,5.30 am–9.00 pm,5.30 am–9.00 pm,5.30 am–9.30 pm,5.30 am–9.00 pm,Rp 25–50K,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,https://www.google.com/maps/place/Gudeg+Wijilan+Bu+Lies+2/data=!4m7!3m6!1s0x2e7a578f8aaac5d5:0xf66bf00b6e133d67!8m2!3d-7.8042287!4d110.3667!16s%2Fg%2F11b72rbj0b!19sChIJ1cWqio9Xei4RZz0Tbgvwa_Y?authuser=0&hl=en&rclk=1,google_maps,0.815,0x2e7a578f8aaac5d5_0xf66bf00b6e133d67
Kuliner Pecel & Gudeg Ibu Lely Beringharjo,Brunch restaurant,-7.798668,110.364368,Yogyakarta City,"Ngupasan, Gondomanan","Teras, Jl. Malioboro No.1",55122,Special Region of Yogyakarta,Yogyakarta,4.9,339,Setiap hari: 8.00 am–10.30 pm,8.00 am–10.30 pm,8.00 am–10.30 pm,8.00 am–10.30 pm,8.00 am–10.30 pm,8.00 am–10.30 pm,8.00 am–10.30 pm,8.00 am–10.30 pm,Rp 1–25.000,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,https://www.google.com/maps/place/Kuliner+Pecel+%26+Gudeg+Ibu+Lely+Beringharjo/data=!4m7!3m6!1s0x2e7a57daedd5f9a5:0xa419999aa78a0e56!8m2!3d-7.7986682!4d110.3643677!16s%2Fg%2F11n94cm25y!19sChIJpfnV7dpXei4RVg6Kp5qZGaQ?authuser=0&hl=en&rclk=1,google_maps,0.7904,0x2e7a57daedd5f9a5_0xa419999aa78a0e56
GUDEG PEDES MBAH JO GEJAYAN,Javanese restaurant,-7.763182,110.393858,Sleman Regency,"Gejayan, Condong Catur, Depok","69PV+PGH, Jl. Affandi",55281,Special Region of Yogyakarta,Yogyakarta,4.5,735,Setiap hari: 7.30 pm–4.30 am,7.30 pm–4.30 am,7.30 pm–4.30 am,7.30 pm–4.30 am,7.30 pm–4.30 am,7.30 pm–4.30 am,7.30 pm–4.30 am,7.30 pm–4.30 am,Rp 25–50K,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,https://www.google.com/maps/place/GUDEG+PEDES+MBAH+JO+GEJAYAN/data=!4m7!3m6!1s0x2e7a59a4d0b174d5:0xa4bfa95af088d311!8m2!3d-7.7631824!4d110.3938577!16s%2Fg%2F11clktr9d0!19sChIJ1XSx0KRZei4REdOI8Fqpv6Q?authuser=0&hl=en&rclk=1,google_maps,0.7693,0x2e7a59a4d0b174d5_0xa4bfa95af088d311
Gudeg Yu Narni Ngasem,Javanese restaurant,-7.806681,110.360123,Yogyakarta City,"Kadipaten, Kraton",Jl. Ngasem No.54,55132,Special Region of Yogyakarta,Yogyakarta,4.6,54,Setiap hari: Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Rp 1–25.000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,https://www.google.com/maps/place/Gudeg+Yu+Narni+Ngasem/data=!4m7!3m6!1s0x2e7a571a28bcb027:0x738bc1c51cd56317!8m2!3d-7.8066808!4d110.3601228!16s%2Fg%2F11lgrlmy8c!19sChIJJ7C8KBpXei4RF2PVHMXBi3M?authuser=0&hl=en&rclk=1,google_maps,0.6906,0x2e7a571a28bcb027_0x738bc1c51cd56317
Gudeg Yu Hadi,Javanese restaurant,-7.803246,110.361269,Yogyakarta City,"Ngupasan, Gondomanan",Gg. Pasar Tiban,55122,Special Region of Yogyakarta,Yogyakarta,4.5,205,Setiap hari: 6.00–9.00 am,6.00–9.00 am,6.00–9.00 am,6.00–9.00 am,6.00–9.00 am,6.00–9.00 am,6.00–9.00 am,6.00–9.00 am,Rp 25–50K,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,https://www.google.com/maps/place/Gudeg+Yu+Hadi/data=!4m7!3m6!1s0x2e7a578e9b0362f7:0x2ff3f9f24f1ebfc5!8m2!3d-7.8032462!4d110.3612689!16s%2Fg%2F11hczwr4c3!19sChIJ92IDm45Xei4Rxb8eT_L58y8?authuser=0&hl=en&rclk=1,google_maps,0.7249,0x2e7a578e9b0362f7_0x2ff3f9f24f1ebfc5
Gudeg Basah Bu Sri Kadipiro,Javanese restaurant,-7.800678,110.344028,Bantul Regency,"Sonosewu, Ngestiharjo, Kasihan","JL. Wates, Km. 2, Kadipiro",55184,Special Region of Yogyakarta,Yogyakarta,4.5,982,Setiap hari: 6.00 am–11.00 pm,6.00 am–11.00 pm,6.00 am–11.00 pm,6.00 am–11.00 pm,6.00 am–11.00 pm,6.00 am–11.00 pm,6.00 am–11.00 pm,6.00 am–11.00 pm,Rp 25–50K,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,https://www.google.com/maps/place/Gudeg+Basah+Bu+Sri+Kadipiro/data=!4m7!3m6!1s0x2e7af8007ea2abfd:0x771a980bca7d3526!8m2!3d-7.8006779!4d110.3440284!16s%2Fg%2F11b6dydctr!19sChIJ_auifgD4ei4RJjV9yguYGnc?authuser=0&hl=en&rclk=1,google_maps,0.7794,0x2e7af8007ea2abfd_0x771a980bca7d3526
Gudeg Wa Wa Wa,Diner,-7.782954,110.387594,Yogyakarta City,"Klitren, Gondokusuman",Jl. Urip Sumoharjo No.108,55222,Special Region of Yogyakarta,Yogyakarta,4.7,361,Setiap hari: 9.00 pm–2.00 am,9.00 pm–2.00 am,9.00 pm–2.00 am,9.00 pm–2.00 am,9.00 pm–2.00 am,9.00 pm–2.00 am,9.00 pm–2.00 am,9.00 pm–2.00 am,Rp 1–25.000,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,https://www.google.com/maps/place/Gudeg+Wa+Wa+Wa/data=!4m7!3m6!1s0x2e7a59cfb4be8cdd:0x5b7e347d5c5bdacc!8m2!3d-7.782954!4d110.3875944!16s%2Fg%2F11g6hshfhb!19sChIJ3Yy-tM9Zei4RzNpbXH00fls?authuser=0&hl=en&rclk=1,google_maps,0.7686,0x2e7a59cfb4be8cdd_0x5b7e347d5c5bdacc
Gudeg Yu Djum,Javanese restaurant,-7.770795,110.368353,Yogyakarta City,"Karangwaru, Tegalrejo","Jl. P. Mangkubumi No.93, RT.027/RW.07",55241,Special Region of Yogyakarta,Yogyakarta,4.4,1678,Setiap hari: 5.00 am–9.00 pm,5.00 am–9.00 pm,5.00 am–9.00 pm,5.00 am–9.00 pm,5.00 am–9.00 pm,5.00 am–9.00 pm,5.00 am–9.00 pm,5.00 am–9.00 pm,Rp 25–50K,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,https://www.google.com/maps/place/Gudeg+Yu+Djum/data=!4m7!3m6!1s0x2e7a5848c70f5397:0x79fdd2a50512e538!8m2!3d-7.7707952!4d110.3683528!16s%2Fg%2F11b61q93qr!19sChIJl1MPx0hYei4ROOUSBaXS_Xk?authuser=0&hl=en&rclk=1,google_maps,0.786,0x2e7a5848c70f5397_0x79fdd2a50512e538
Bakmi Jawa Legenda,Noodle shop,-7.819937,110.36731,Yogyakarta City,Mantrijeron,Jl. Sartono No.823,55143,Special Region of Yogyakarta,Yogyakarta,4.4,1060,Setiap hari: 4.00–11.00 pm,4.00–11.00 pm,4.00–11.00 pm,4.00–11.00 pm,4.00–11.00 pm,4.00–11.00 pm,4.00–11.00 pm,4.00–11.00 pm,Rp 25–50K,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,https://www.google.com/maps/place/Bakmi+Jawa+Legenda/data=!4m7!3m6!1s0x2e7a593d7747009f:0xdbac9b1dd49aef0a!8m2!3d-7.8199367!4d110.3673098!16s%2Fg%2F11gtb08pfx!19sChIJnwBHdz1Zei4RCu-a1B2brNs?authuser=0&hl=en&rclk=1,google_maps,0.77,0x2e7a593d7747009f_0xdbac9b1dd49aef0a
